Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
2.694842333E0,-5.059478760E-2,2.264790344E-1,9.862241364E0,9.864971226E0
2.704818333E0,-5.568420410E-2,2.339634705E-1,9.875413971E0,9.878342003E0
2.714794333E0,-4.984634399E-2,2.237846375E-1,9.867779846E0,9.870442914E0
2.724769333E0,-3.712280273E-2,2.314187622E-1,9.866432648E0,9.869216075E0
2.734745333E0,-5.373825073E-2,2.267784119E-1,9.866582336E0,9.869334489E0
2.744721333E0,-4.745132446E-2,2.197430420E-1,9.869127045E0,9.871687154E0
2.754696333E0,-4.206253052E-2,2.257305908E-1,9.866282959E0,9.868954503E0
2.764672333E0,-4.819976807E-2,2.164498901E-1,9.865983582E0,9.868475354E0
2.774648333E0,-5.269042969E-2,2.290237427E-1,9.868528290E0,9.871326089E0
2.784623333E0,-4.969665527E-2,2.188449097E-1,9.864636383E0,9.867188750E0
2.794599333E0,-4.056564331E-2,2.231858826E-1,9.875264282E0,9.877869312E0
2.804574333E0,-4.939727783E-2,2.266287231E-1,9.859546967E0,9.862274943E0
2.814550333E0,-4.161346436E-2,2.351609802E-1,9.863588562E0,9.866479194E0
2.824526333E0,-5.209167480E-2,2.312690735E-1,9.871372375E0,9.874218526E0
2.834501333E0,-5.074447632E-2,2.183958435E-1,9.858349457E0,9.860898831E0
2.844477333E0,-5.568420410E-2,2.225871277E-1,9.861043854E0,9.863712873E0
2.854453333E0,-5.478607178E-2,2.318678284E-1,9.874665527E0,9.877539343E0
2.864428333E0,-3.323089600E-2,2.366578674E-1,9.875863037E0,9.878754070E0
2.874404333E0,-5.373825073E-2,2.264790344E-1,9.876761169E0,9.879503619E0
2.884379333E0,-5.134323120E-2,2.312690735E-1,9.861343231E0,9.864188352E0
2.894355333E0,-5.763015747E-2,2.248324585E-1,9.859846344E0,9.862577797E0
2.904331333E0,-4.101470947E-2,2.264790344E-1,9.863289185E0,9.865974280E0
2.914306333E0,-4.311035156E-2,2.357597351E-1,9.871222687E0,9.874131784E0
2.924282333E0,-4.894821167E-2,2.188449097E-1,9.870623932E0,9.873171012E0
2.934258333E0,-5.313949585E-2,2.180964661E-1,9.865983582E0,9.868536969E0
2.944233333E0,-5.523513794E-2,2.149530029E-1,9.872120819E0,9.874615192E0
2.954209333E0,-3.787124634E-2,2.323168945E-1,9.864187317E0,9.866995328E0
2.964185333E0,-4.071533203E-2,2.353106689E-1,9.858199768E0,9.861091801E0
2.974160333E0,-5.298980713E-2,2.234852600E-1,9.869576111E0,9.872248284E0
2.984136333E0,-4.924758911E-2,2.210902405E-1,9.879904633E0,9.882500785E0
2.994111333E0,-4.101470947E-2,2.243833923E-1,9.863438873E0,9.866076045E0
3.004087333E0,-4.400848389E-2,2.378553772E-1,9.852661285E0,9.855630184E0
3.014063333E0,-6.376739502E-2,2.299218750E-1,9.864486694E0,9.867371894E0
3.024038333E0,-4.864883423E-2,2.332150269E-1,9.876761169E0,9.879633959E0
3.034014333E0,-5.807922363E-2,2.230361938E-1,9.862391052E0,9.865083659E0
3.043990333E0,-5.074447632E-2,2.306703186E-1,9.874066772E0,9.876891132E0
3.053965333E0,-5.179229736E-2,2.287243652E-1,9.867480469E0,9.870266870E0
3.063941333E0,-4.490661621E-2,2.260299683E-1,9.866133270E0,9.868824239E0
3.073916333E0,-5.194198608E-2,2.245330811E-1,9.871671753E0,9.874361563E0
3.083892333E0,-4.790039063E-2,2.168989563E-1,9.879305878E0,9.881802681E0
3.093868333E0,-5.703140259E-2,2.287243652E-1,9.878557434E0,9.881369561E0
3.103843333E0,-5.179229736E-2,2.389031982E-1,9.873917084E0,9.876942632E0
3.113819333E0,-5.239105225E-2,2.296224976E-1,9.864935760E0,9.867746899E0
3.123795333E0,-4.415817261E-2,2.215393066E-1,9.881251831E0,9.883833637E0
3.133770333E0,-4.251159668E-2,2.296224976E-1,9.859696655E0,9.862461755E0
3.143746333E0,-5.418731689E-2,2.203417969E-1,9.867480469E0,9.870089036E0
